
# Curve 0 of 1, 500 points
# Curve title: "2*1/x * besj1(x) - besj0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
1.2024048e-02 1.8071999e-05  i
2.4048096e-02 7.2285383e-05  i
3.6072144e-02 1.6263231e-04  i
4.8096192e-02 2.8909973e-04  i
6.0120240e-02 4.5166934e-04  i
7.2144289e-02 6.5031766e-04  i
8.4168337e-02 8.8501594e-04  i
9.6192385e-02 1.1557303e-03  i
1.0821643e-01 1.4624215e-03  i
1.2024048e-01 1.8050453e-03  i
1.3226453e-01 2.1835521e-03  i
1.4428858e-01 2.5978871e-03  i
1.5631263e-01 3.0479906e-03  i
1.6833667e-01 3.5337973e-03  i
1.8036072e-01 4.0552370e-03  i
1.9238477e-01 4.6122343e-03  i
2.0440882e-01 5.2047087e-03  i
2.1643287e-01 5.8325745e-03  i
2.2845691e-01 6.4957408e-03  i
2.4048096e-01 7.1941117e-03  i
2.5250501e-01 7.9275861e-03  i
2.6452906e-01 8.6960581e-03  i
2.7655311e-01 9.4994164e-03  i
2.8857715e-01 1.0337545e-02  i
3.0060120e-01 1.1210322e-02  i
3.1262525e-01 1.2117621e-02  i
3.2464930e-01 1.3059312e-02  i
3.3667335e-01 1.4035258e-02  i
3.4869739e-01 1.5045317e-02  i
3.6072144e-01 1.6089344e-02  i
3.7274549e-01 1.7167187e-02  i
3.8476954e-01 1.8278690e-02  i
3.9679359e-01 1.9423693e-02  i
4.0881764e-01 2.0602028e-02  i
4.2084168e-01 2.1813527e-02  i
4.3286573e-01 2.3058013e-02  i
4.4488978e-01 2.4335307e-02  i
4.5691383e-01 2.5645222e-02  i
4.6893788e-01 2.6987569e-02  i
4.8096192e-01 2.8362155e-02  i
4.9298597e-01 2.9768778e-02  i
5.0501002e-01 3.1207237e-02  i
5.1703407e-01 3.2677321e-02  i
5.2905812e-01 3.4178819e-02  i
5.4108216e-01 3.5711511e-02  i
5.5310621e-01 3.7275177e-02  i
5.6513026e-01 3.8869589e-02  i
5.7715431e-01 4.0494515e-02  i
5.8917836e-01 4.2149721e-02  i
6.0120240e-01 4.3834966e-02  i
6.1322645e-01 4.5550005e-02  i
6.2525050e-01 4.7294590e-02  i
6.3727455e-01 4.9068466e-02  i
6.4929860e-01 5.0871378e-02  i
6.6132265e-01 5.2703062e-02  i
6.7334669e-01 5.4563252e-02  i
6.8537074e-01 5.6451679e-02  i
6.9739479e-01 5.8368068e-02  i
7.0941884e-01 6.0312141e-02  i
7.2144289e-01 6.2283614e-02  i
7.3346693e-01 6.4282202e-02  i
7.4549098e-01 6.6307613e-02  i
7.5751503e-01 6.8359553e-02  i
7.6953908e-01 7.0437723e-02  i
7.8156313e-01 7.2541822e-02  i
7.9358717e-01 7.4671542e-02  i
8.0561122e-01 7.6826574e-02  i
8.1763527e-01 7.9006604e-02  i
8.2965932e-01 8.1211314e-02  i
8.4168337e-01 8.3440384e-02  i
8.5370741e-01 8.5693488e-02  i
8.6573146e-01 8.7970298e-02  i
8.7775551e-01 9.0270482e-02  i
8.8977956e-01 9.2593704e-02  i
9.0180361e-01 9.4939626e-02  i
9.1382766e-01 9.7307906e-02  i
9.2585170e-01 9.9698197e-02  i
9.3787575e-01 1.0211015e-01  i
9.4989980e-01 1.0454342e-01  i
9.6192385e-01 1.0699764e-01  i
9.7394790e-01 1.0947245e-01  i
