
# Curve 0 of 1, 500 points
# Curve title: "besy1(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
1.2024048e-02 -5.2964822e+01  i
2.4048096e-02 -2.6506019e+01  i
3.6072144e-02 -1.7693725e+01  i
4.8096192e-02 -1.3292254e+01  i
6.0120240e-02 -1.0654661e+01  i
7.2144289e-02 -8.8987171e+00  i
8.4168337e-02 -7.6463674e+00  i
9.6192385e-02 -6.7086125e+00  i
1.0821643e-01 -5.9804697e+00  i
1.2024048e-01 -5.3989614e+00  i
1.3226453e-01 -4.9240195e+00  i
1.4428858e-01 -4.5289380e+00  i
1.5631263e-01 -4.1952331e+00  i
1.6833667e-01 -3.9097056e+00  i
1.8036072e-01 -3.6626790e+00  i
1.9238477e-01 -3.4468984e+00  i
2.0440882e-01 -3.2568178e+00  i
2.1643287e-01 -3.0881251e+00  i
2.2845691e-01 -2.9374176e+00  i
2.4048096e-01 -2.8019740e+00  i
2.5250501e-01 -2.6795924e+00  i
2.6452906e-01 -2.5684721e+00  i
2.7655311e-01 -2.4671264e+00  i
2.8857715e-01 -2.3743167e+00  i
3.0060120e-01 -2.2890034e+00  i
3.1262525e-01 -2.2103071e+00  i
3.2464930e-01 -2.1374794e+00  i
3.3667335e-01 -2.0698789e+00  i
3.4869739e-01 -2.0069532e+00  i
3.6072144e-01 -1.9482239e+00  i
3.7274549e-01 -1.8932744e+00  i
3.8476954e-01 -1.8417406e+00  i
3.9679359e-01 -1.7933027e+00  i
4.0881764e-01 -1.7476789e+00  i
4.2084168e-01 -1.7046195e+00  i
4.3286573e-01 -1.6639030e+00  i
4.4488978e-01 -1.6253319e+00  i
4.5691383e-01 -1.5887297e+00  i
4.6893788e-01 -1.5539381e+00  i
4.8096192e-01 -1.5208148e+00  i
4.9298597e-01 -1.4892314e+00  i
5.0501002e-01 -1.4590721e+00  i
5.1703407e-01 -1.4302318e+00  i
5.2905812e-01 -1.4026150e+00  i
5.4108216e-01 -1.3761350e+00  i
5.5310621e-01 -1.3507126e+00  i
5.6513026e-01 -1.3262754e+00  i
5.7715431e-01 -1.3027573e+00  i
5.8917836e-01 -1.2800975e+00  i
6.0120240e-01 -1.2582402e+00  i
6.1322645e-01 -1.2371341e+00  i
6.2525050e-01 -1.2167319e+00  i
6.3727455e-01 -1.1969899e+00  i
6.4929860e-01 -1.1778678e+00  i
6.6132265e-01 -1.1593281e+00  i
6.7334669e-01 -1.1413362e+00  i
6.8537074e-01 -1.1238601e+00  i
6.9739479e-01 -1.1068698e+00  i
7.0941884e-01 -1.0903376e+00  i
7.2144289e-01 -1.0742376e+00  i
7.3346693e-01 -1.0585457e+00  i
7.4549098e-01 -1.0432394e+00  i
7.5751503e-01 -1.0282976e+00  i
7.6953908e-01 -1.0137007e+00  i
7.8156313e-01 -9.9943035e-01  i
7.9358717e-01 -9.8546926e-01  i
8.0561122e-01 -9.7180127e-01  i
8.1763527e-01 -9.5841124e-01  i
8.2965932e-01 -9.4528492e-01  i
8.4168337e-01 -9.3240894e-01  i
8.5370741e-01 -9.1977071e-01  i
8.6573146e-01 -9.0735841e-01  i
8.7775551e-01 -8.9516089e-01  i
8.8977956e-01 -8.8316764e-01  i
