
# Curve 0 of 1, 500 points
# Curve title: "2*1/x * besy1(x) - besy0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
1.2024048e-02 -8.8069273e+03  i
2.4048096e-02 -2.2019707e+03  i
3.6072144e-02 -9.7883084e+02  i
4.8096192e-02 -5.5073208e+02  i
6.0120240e-02 -3.5258372e+02  i
7.2144289e-02 -2.4494778e+02  i
8.4168337e-02 -1.8004690e+02  i
9.6192385e-02 -1.3792393e+02  i
1.0821643e-01 -1.0904475e+02  i
1.2024048e-01 -8.8387827e+01  i
1.3226453e-01 -7.3104216e+01  i
1.4428858e-01 -6.1479948e+01  i
1.5631263e-01 -5.2433700e+01  i
1.6833667e-01 -4.5255941e+01  i
1.8036072e-01 -3.9465447e+01  i
1.9238477e-01 -3.4726502e+01  i
2.0440882e-01 -3.0799127e+01  i
2.1643287e-01 -2.7508090e+01  i
2.2845691e-01 -2.4723023e+01  i
2.4048096e-01 -2.2345310e+01  i
2.5250501e-01 -2.0299243e+01  i
2.6452906e-01 -1.8525917e+01  i
2.7655311e-01 -1.6978948e+01  i
2.8857715e-01 -1.5621409e+01  i
3.0060120e-01 -1.4423606e+01  i
3.1262525e-01 -1.3361446e+01  i
3.2464930e-01 -1.2415210e+01  i
3.3667335e-01 -1.1568637e+01  i
3.4869739e-01 -1.0808222e+01  i
3.6072144e-01 -1.0122670e+01  i
3.7274549e-01 -9.5024793e+00  i
3.8476954e-01 -8.9396084e+00  i
3.9679359e-01 -8.4272156e+00  i
4.0881764e-01 -7.9594502e+00  i
4.2084168e-01 -7.5312851e+00  i
4.3286573e-01 -7.1383815e+00  i
4.4488978e-01 -6.7769786e+00  i
4.5691383e-01 -6.4438039e+00  i
4.6893788e-01 -6.1359990e+00  i
4.8096192e-01 -5.8510580e+00  i
4.9298597e-01 -5.5867770e+00  i
5.0501002e-01 -5.3412109e+00  i
5.1703407e-01 -5.1126384e+00  i
5.2905812e-01 -4.8995311e+00  i
5.4108216e-01 -4.7005289e+00  i
5.5310621e-01 -4.5144175e+00  i
5.6513026e-01 -4.3401104e+00  i
5.7715431e-01 -4.1766332e+00  i
5.8917836e-01 -4.0231096e+00  i
6.0120240e-01 -3.8787502e+00  i
6.1322645e-01 -3.7428421e+00  i
6.2525050e-01 -3.6147402e+00  i
6.3727455e-01 -3.4938596e+00  i
6.4929860e-01 -3.3796692e+00  i
6.6132265e-01 -3.2716855e+00  i
6.7334669e-01 -3.1694678e+00  i
6.8537074e-01 -3.0726138e+00  i
6.9739479e-01 -2.9807552e+00  i
7.0941884e-01 -2.8935550e+00  i
7.2144289e-01 -2.8107038e+00  i
7.3346693e-01 -2.7319173e+00  i
7.4549098e-01 -2.6569340e+00  i
7.5751503e-01 -2.5855130e+00  i
7.6953908e-01 -2.5174319e+00  i
7.8156313e-01 -2.4524853e+00  i
7.9358717e-01 -2.3904832e+00  i
8.0561122e-01 -2.3312498e+00  i
8.1763527e-01 -2.2746218e+00  i
8.2965932e-01 -2.2204478e+00  i
8.4168337e-01 -2.1685872e+00  i
8.5370741e-01 -2.1189091e+00  i
8.6573146e-01 -2.0712916e+00  i
8.7775551e-01 -2.0256210e+00  i
8.8977956e-01 -1.9817915e+00  i
9.0180361e-01 -1.9397038e+00  i
9.1382766e-01 -1.8992655e+00  i
9.2585170e-01 -1.8603900e+00  i
9.3787575e-01 -1.8229961e+00  i
9.4989980e-01 -1.7870079e+00  i
9.6192385e-01 -1.7523539e+00  i
9.7394790e-01 -1.7189673e+00  i
9.8597194e-01 -1.6867851e+00  i
9.9799599e-01 -1.6557481e+00  i
1.0100200e+00 -1.6258006e+00  i
1.0220441e+00 -1.5968902e+00  i
1.0340681e+00 -1.5689675e+00  i
1.0460922e+00 -1.5419859e+00  i
1.0581162e+00 -1.5159013e+00  i
1.0701403e+00 -1.4906722e+00  i
1.0821643e+00 -1.4662594e+00  i
1.0941884e+00 -1.4426257e+00  i
1.1062124e+00 -1.4197359e+00  i
1.1182365e+00 -1.3975569e+00  i
1.1302605e+00 -1.3760571e+00  i
1.1422846e+00 -1.3552066e+00  i
1.1543086e+00 -1.3349771e+00  i
1.1663327e+00 -1.3153417e+00  i
1.1783567e+00 -1.2962749e+00  i
1.1903808e+00 -1.2777524e+00  i
1.2024048e+00 -1.2597512e+00  i
1.2144289e+00 -1.2422493e+00  i
1.2264529e+00 -1.2252259e+00  i
1.2384770e+00 -1.2086611e+00  i
1.2505010e+00 -1.1925360e+00  i
1.2625251e+00 -1.1768325e+00  i
1.2745491e+00 -1.1615336e+00  i
1.2865731e+00 -1.1466228e+00  i
1.2985972e+00 -1.1320844e+00  i
1.3106212e+00 -1.1179036e+00  i
1.3226453e+00 -1.1040661e+00  i
1.3346693e+00 -1.0905583e+00  i
1.3466934e+00 -1.0773672e+00  i
1.3587174e+00 -1.0644803e+00  i
1.3707415e+00 -1.0518857e+00  i
1.3827655e+00 -1.0395720e+00  i
1.3947896e+00 -1.0275285e+00  i
1.4068136e+00 -1.0157445e+00  i
1.4188377e+00 -1.0042102e+00  i
1.4308617e+00 -9.9291588e-01  i
1.4428858e+00 -9.8185246e-01  i
1.4549098e+00 -9.7101111e-01  i
1.4669339e+00 -9.6038339e-01  i
1.4789579e+00 -9.4996121e-01  i
1.4909820e+00 -9.3973679e-01  i
1.5030060e+00 -9.2970268e-01  i
1.5150301e+00 -9.1985171e-01  i
1.5270541e+00 -9.1017700e-01  i
1.5390782e+00 -9.0067196e-01  i
1.5511022e+00 -8.9133022e-01  i
1.5631263e+00 -8.8214568e-01  i
1.5751503e+00 -8.7311247e-01  i
1.5871743e+00 -8.6422496e-01  i
1.5991984e+00 -8.5547770e-01  i
1.6112224e+00 -8.4686548e-01  i
1.6232465e+00 -8.3838327e-01  i
1.6352705e+00 -8.3002623e-01  i
1.6472946e+00 -8.2178971e-01  i
1.6593186e+00 -8.1366922e-01  i
1.6713427e+00 -8.0566044e-01  i
1.6833667e+00 -7.9775921e-01  i
1.6953908e+00 -7.8996153e-01  i
1.7074148e+00 -7.8226353e-01  i
1.7194389e+00 -7.7466149e-01  i
1.7314629e+00 -7.6715183e-01  i
1.7434870e+00 -7.5973109e-01  i
1.7555110e+00 -7.5239594e-01  i
1.7675351e+00 -7.4514316e-01  i
1.7795591e+00 -7.3796966e-01  i
1.7915832e+00 -7.3087244e-01  i
1.8036072e+00 -7.2384863e-01  i
1.8156313e+00 -7.1689545e-01  i
1.8276553e+00 -7.1001021e-01  i
1.8396794e+00 -7.0319034e-01  i
1.8517034e+00 -6.9643333e-01  i
1.8637275e+00 -6.8973677e-01  i
1.8757515e+00 -6.8309836e-01  i
1.8877756e+00 -6.7651583e-01  i
1.8997996e+00 -6.6998705e-01  i
1.9118236e+00 -6.6350991e-01  i
1.9238477e+00 -6.5708241e-01  i
1.9358717e+00 -6.5070261e-01  i
1.9478958e+00 -6.4436863e-01  i
1.9599198e+00 -6.3807867e-01  i
1.9719439e+00 -6.3183098e-01  i
1.9839679e+00 -6.2562388e-01  i
1.9959920e+00 -6.1945576e-01  i
2.0080160e+00 -6.1332504e-01  i
2.0200401e+00 -6.0723022e-01  i
2.0320641e+00 -6.0116985e-01  i
2.0440882e+00 -5.9514253e-01  i
2.0561122e+00 -5.8914689e-01  i
2.0681363e+00 -5.8318165e-01  i
2.0801603e+00 -5.7724554e-01  i
2.0921844e+00 -5.7133736e-01  i
2.1042084e+00 -5.6545594e-01  i
2.1162325e+00 -5.5960016e-01  i
2.1282565e+00 -5.5376894e-01  i
2.1402806e+00 -5.4796124e-01  i
2.1523046e+00 -5.4217607e-01  i
2.1643287e+00 -5.3641245e-01  i
2.1763527e+00 -5.3066947e-01  i
2.1883768e+00 -5.2494624e-01  i
2.2004008e+00 -5.1924190e-01  i
2.2124248e+00 -5.1355563e-01  i
2.2244489e+00 -5.0788665e-01  i
2.2364729e+00 -5.0223420e-01  i
2.2484970e+00 -4.9659755e-01  i
2.2605210e+00 -4.9097601e-01  i
2.2725451e+00 -4.8536892e-01  i
2.2845691e+00 -4.7977564e-01  i
2.2965932e+00 -4.7419556e-01  i
2.3086172e+00 -4.6862810e-01  i
2.3206413e+00 -4.6307271e-01  i
2.3326653e+00 -4.5752885e-01  i
2.3446894e+00 -4.5199601e-01  i
2.3567134e+00 -4.4647372e-01  i
2.3687375e+00 -4.4096153e-01  i
2.3807615e+00 -4.3545898e-01  i
2.3927856e+00 -4.2996568e-01  i
2.4048096e+00 -4.2448122e-01  i
2.4168337e+00 -4.1900525e-01  i
2.4288577e+00 -4.1353741e-01  i
2.4408818e+00 -4.0807736e-01  i
2.4529058e+00 -4.0262481e-01  i
2.4649299e+00 -3.9717946e-01  i
2.4769539e+00 -3.9174104e-01  i
2.4889780e+00 -3.8630929e-01  i
2.5010020e+00 -3.8088398e-01  i
2.5130261e+00 -3.7546489e-01  i
2.5250501e+00 -3.7005180e-01  i
2.5370741e+00 -3.6464455e-01  i
2.5490982e+00 -3.5924295e-01  i
2.5611222e+00 -3.5384686e-01  i
2.5731463e+00 -3.4845612e-01  i
2.5851703e+00 -3.4307062e-01  i
2.5971944e+00 -3.3769025e-01  i
2.6092184e+00 -3.3231490e-01  i
2.6212425e+00 -3.2694450e-01  i
2.6332665e+00 -3.2157897e-01  i
2.6452906e+00 -3.1621826e-01  i
2.6573146e+00 -3.1086232e-01  i
2.6693387e+00 -3.0551113e-01  i
2.6813627e+00 -3.0016465e-01  i
2.6933868e+00 -2.9482288e-01  i
2.7054108e+00 -2.8948583e-01  i
2.7174349e+00 -2.8415352e-01  i
2.7294589e+00 -2.7882595e-01  i
2.7414830e+00 -2.7350318e-01  i
2.7535070e+00 -2.6818525e-01  i
2.7655311e+00 -2.6287221e-01  i
2.7775551e+00 -2.5756414e-01  i
2.7895792e+00 -2.5226110e-01  i
2.8016032e+00 -2.4696319e-01  i
2.8136273e+00 -2.4167049e-01  i
2.8256513e+00 -2.3638312e-01  i
2.8376754e+00 -2.3110118e-01  i
2.8496994e+00 -2.2582479e-01  i
2.8617234e+00 -2.2055409e-01  i
2.8737475e+00 -2.1528922e-01  i
2.8857715e+00 -2.1003031e-01  i
2.8977956e+00 -2.0477752e-01  i
2.9098196e+00 -1.9953100e-01  i
2.9218437e+00 -1.9429094e-01  i
2.9338677e+00 -1.8905750e-01  i
2.9458918e+00 -1.8383086e-01  i
2.9579158e+00 -1.7861122e-01  i
2.9699399e+00 -1.7339876e-01  i
2.9819639e+00 -1.6819369e-01  i
2.9939880e+00 -1.6299622e-01  i
3.0060120e+00 -1.5780655e-01  i
3.0180361e+00 -1.5262491e-01  i
3.0300601e+00 -1.4745152e-01  i
3.0420842e+00 -1.4228662e-01  i
3.0541082e+00 -1.3713043e-01  i
3.0661323e+00 -1.3198321e-01  i
3.0781563e+00 -1.2684519e-01  i
3.0901804e+00 -1.2171662e-01  i
3.1022044e+00 -1.1659776e-01  i
3.1142285e+00 -1.1148888e-01  i
3.1262525e+00 -1.0639023e-01  i
3.1382766e+00 -1.0130208e-01  i
3.1503006e+00 -9.6224716e-02  i
3.1623246e+00 -9.1158402e-02  i
3.1743487e+00 -8.6103422e-02  i
3.1863727e+00 -8.1060062e-02  i
3.1983968e+00 -7.6028609e-02  i
3.2104208e+00 -7.1009354e-02  i
3.2224449e+00 -6.6002594e-02  i
3.2344689e+00 -6.1008625e-02  i
3.2464930e+00 -5.6027749e-02  i
3.2585170e+00 -5.1060270e-02  i
3.2705411e+00 -4.6106496e-02  i
3.2825651e+00 -4.1166735e-02  i
3.2945892e+00 -3.6241300e-02  i
3.3066132e+00 -3.1330507e-02  i
3.3186373e+00 -2.6434671e-02  i
3.3306613e+00 -2.1554113e-02  i
3.3426854e+00 -1.6689154e-02  i
3.3547094e+00 -1.1840118e-02  i
3.3667335e+00 -7.0073288e-03  i
3.3787575e+00 -2.1911151e-03  i
3.3907816e+00 2.6081945e-03  i
3.4028056e+00 7.3902696e-03  i
3.4148297e+00 1.2154778e-02  i
3.4268537e+00 1.6901387e-02  i
3.4388778e+00 2.1629762e-02  i
3.4509018e+00 2.6339567e-02  i
3.4629259e+00 3.1030464e-02  i
3.4749499e+00 3.5702118e-02  i
3.4869739e+00 4.0354188e-02  i
3.4989980e+00 4.4986335e-02  i
3.5110220e+00 4.9598220e-02  i
3.5230461e+00 5.4189502e-02  i
3.5350701e+00 5.8759840e-02  i
3.5470942e+00 6.3308893e-02  i
3.5591182e+00 6.7836318e-02  i
3.5711423e+00 7.2341774e-02  i
3.5831663e+00 7.6824919e-02  i
3.5951904e+00 8.1285411e-02  i
3.6072144e+00 8.5722908e-02  i
3.6192385e+00 9.0137069e-02  i
3.6312625e+00 9.4527551e-02  i
3.6432866e+00 9.8894014e-02  i
3.6553106e+00 1.0323612e-01  i
3.6673347e+00 1.0755352e-01  i
3.6793587e+00 1.1184588e-01  i
3.6913828e+00 1.1611287e-01  i
